AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.012,-0.193,0.967,,,,,
0.02,-0.209,0.986,,,,,
0.027,-0.195,0.963,,,,,
0.033,-0.184,0.967,,,,,
0.014,-0.193,0.953,,,,,
0.02,-0.197,0.986,,,,,
0.029,-0.209,0.969,,,,,
0.031,-0.193,0.973,392,31.1,38.1,5275,2
0.027,-0.195,0.951,,,,,
0.012,-0.191,0.967,,,,,
0.021,-0.197,0.979,,,,,
0.033,-0.191,0.959,,,,,
0.029,-0.189,0.967,,,,,
0.014,-0.197,0.947,,,,,
0.02,-0.203,0.982,,,,,
0.027,-0.207,0.969,,,,,
0.037,-0.184,0.965,,,,,
0.029,-0.189,0.959,,,,,
0.008,-0.191,0.965,,,,,
0.021,-0.203,0.975,,,,,
0.033,-0.199,0.969,,,,,
0.035,-0.193,0.963,,,,,
0.01,-0.195,0.943,,,,,
0.018,-0.195,0.984,,,,,
0.031,-0.211,0.969,,,,,
0.033,-0.193,0.975,392,31.1,38.1,5451,2
0.023,-0.193,0.945,,,,,
0.012,-0.195,0.971,,,,,
0.021,-0.205,0.98,,,,,
0.033,-0.199,0.965,,,,,
0.033,-0.191,0.961,,,,,
0.008,-0.193,0.947,,,,,
0.021,-0.199,0.988,,,,,
0.029,-0.209,0.977,,,,,
0.035,-0.186,0.961,,,,,
0.027,-0.193,0.951,,,,,
0.01,-0.199,0.965,,,,,
0.021,-0.215,0.986,,,,,
0.029,-0.193,0.967,,,,,
0.035,-0.182,0.957,,,,,
0.012,-0.189,0.953,,,,,
0.018,-0.201,0.986,,,,,
0.029,-0.213,0.977,,,,,
0.039,-0.191,0.973,392,31.1,38.1,5626,2
0.023,-0.191,0.947,,,,,
0.014,-0.189,0.977,,,,,
0.027,-0.201,0.988,,,,,
0.035,-0.188,0.961,,,,,
0.035,-0.191,0.965,,,,,
0.012,-0.199,0.953,,,,,
0.02,-0.203,0.986,,,,,
0.027,-0.213,0.967,,,,,
0.037,-0.186,0.959,,,,,
0.021,-0.199,0.947,,,,,
0.012,-0.191,0.969,,,,,
0.021,-0.209,0.979,,,,,
0.035,-0.193,0.975,,,,,
0.033,-0.188,0.959,,,,,
0.01,-0.191,0.957,,,,,
